Name,Symbol,APIR Code,Morningstar Medalist Rating™,Analyst-Driven %,Data Coverage %,Medalist Rating Date,Morningstar ESG Risk Rating,Morningstar Category,Low Carbon Designation,Sustainable Investment (By Prospectus),Historical Corporate Sustainability Score,Historical Sovereign Sustainability Score,Corporate Sustainability Percent Rank,Portfolio Carbon Risk Score,Fossil Fuel % Covered Portfolio Involved,Alcohol(%),Animal Testing(%),Controversial Weapons(%),Tobacco(%),Gambling(%),Small Arms(%),Thermal Coal(%),1 Month Return (%),3 Months Return (%),6 Months Return (%),YTD Return (%),1 Year Annualised (%),3 Years Annualised (%),5 Years Annualised (%),10 Years Annualised (%),Investment Management Fee(%),TCR (P),Manager Tenure (Yrs),Fund Size (Mil),Equity StyleBox™,Fixed Income StyleBox™,Average Market Cap (Mil),Average Credit Quality,Effective Duration,Morningstar Rating,Morningstar Risk (Rel to Category),3 Year Alpha,3 Year Beta,3 Year R-Squared,3 Year Standard Deviation,3 Year Sharpe Ratio
CFS FC W Pen-CFS Index Global Share,11501,FSF0549AU,Bronze,100.00,100.00,2025-03-31,2,Equity World Large Blend,No,No,,,,7.44,9.10,0.75,16.65,1.35,0.05,0.26,0.85,0.66,−1.82,−6.14,3.15,−3.78,13.10,14.06,13.68,11.15,0.16,0.36,1.42,"1,695.86 ",Large Blend,,,,,4,3,−0.12,0.91,98.85,10.75,0.94
CFS FC W Pen-CFS Index Global Shr-Hgd,13545,FSF0829AU,Bronze,100.00,100.00,2025-03-31,,Equity World - Currency Hedged,,No,,,,,,,,,,,,,−0.66,−5.83,−0.49,−2.81,8.97,8.90,12.13,8.62,0.19,0.36,1.42,,Large Blend,,,,,4,3,−0.62,0.95,99.26,13.99,0.42
CFS FC W Pen-CFS Index Property Sec,11473,FSF0570AU,Bronze,100.00,100.00,2025-03-31,5,Equity Australia Real Estate,Yes,No,,,,7.28,0.00,0,0,0,0,0,0.00,0.00,6.29,−5.36,−4.62,−1.00,8.75,5.28,11.80,7.20,0.15,0.35,0.42,17.13 ,Large Blend,,,,,3,5,0.13,1.00,99.97,23.49,0.18
CFS FC W Pen-CFS Property Securities,11447,FSF0536AU,,,,,5,Equity Australia Real Estate,Yes,No,,,,6.97,0.00,0,0,0,0,0,0.00,0.00,5.79,−4.87,−3.90,−0.34,7.98,5.06,11.98,7.49,0.75,0.95,9.33,259.49 ,Large Blend,,,,,4,3,−0.12,0.96,99.76,22.55,0.17
CFS FC W Pen-CFS Wellington Global Small Companies,11508,FSF0556AU,,,,,2,Equity World Mid/Small,No,No,,,,9.07,7.24,0.44,10.75,0,0,0.57,0.88,0.27,−2.26,−8.12,−0.09,−6.47,6.08,9.46,11.33,8.43,1.17,1.37,20.83,,Small Blend,,,,,1,5,1.45,0.91,91.93,13.82,0.46
CFS FC W Pen-Colchester Emerging Mk Bond,47058,AIL6079AU,,,,,,Equity Emerging Markets,,,,,,,,,,,,,,,0.28,0.91,,3.29,,,,,,,,0.58 ,,,,,,,,,,,,
CFS FC W Pen-Colchester TTR EmMkt Bond,47059,AIL0512AU,,,,,,Equity Emerging Markets,,,,,,,,,,,,,,,−0.05,−0.05,,−0.05,,,,,,,,,,,,,,,,,,,,
CFS FC W Pen-DNR Aus Equ High Conv,45474,AIL4799AU,Bronze,100.00,100.00,2025-03-31,4,Equity Australia Large Blend,No,No,,,,8.40,14.99,3.85,11.11,0,0,9.96,0.00,8.10,1.31,−8.31,−4.27,−4.59,3.08,,,,0.85,1.05,2.50,111.67 ,Large Blend,,,,,,,,,,,
CFS FC W Pen- DNR Capital Australian Equities Income,11489,FSF0522AU,,,,,3,Australia Equity Income,,No,,,,,,,,,,,,,2.66,−4.18,−1.65,−1.29,2.89,5.28,12.67,6.41,0.85,1.05,5.17,,,,,,,,,−1.30,0.82,93.34,11.42,0.18
CFS FC W Pen-Eiger Aust Small Companies,44460,FSF6347AU,,,,,1,Equity Australia Mid/Small Growth,No,No,,,,9.26,8.52,0,8.69,0,0,0,0.00,3.45,2.54,−6.85,−4.09,−2.88,0.34,0.64,,,1.05,2.19,3.42,23.69 ,Mid Growth,,,,,2,3,−0.30,0.83,86.29,15.92,−0.12
CFS FC W Pen-Epoch GESY,16360,FSF0945AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,No,No,,,,7.99,17.67,0,20.53,1.91,0,1.15,1.29,1.46,−3.14,−2.51,3.68,0.30,14.75,12.06,12.02,7.73,1.15,1.35,17.00,,Large Value,,,,,3,3,0.21,0.72,72.81,9.79,0.84
CFS FC W Pen-Fidelity Aust Equities,13539,FSF0827AU,Silver,100.00,100.00,2025-03-31,2,Equity Australia Large Blend,No,No,,,,10.38,16.98,0,8.12,0,0,0,0.00,10.17,3.36,−3.30,−0.45,0.70,7.92,5.40,12.28,8.28,0.85,1.05,19.17,17.14 ,Large Blend,,,,,3,4,−1.67,1.01,96.48,13.86,0.18
CFS FC W Pen-FirstRate Saver,16858,FSF1012AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.34,1.02,2.13,1.39,4.40,3.70,2.28,1.89,0.00,0.60,,48.91 ,,,,,,,,0.09,0.71,85.78,0.31,−0.97
CFS FC W Pen-FirstRate Term Dep (10yr),40451,FSF8169AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.15,0.44,0.90,0.60,1.83,1.81,1.23,1.29,0.00,0.00,,0.37 ,,,,,,,,−2.42,−2.30,77.31,0.04,−8.31
CFS FC W Pen-FirstRate Term Dep (12Mth),17774,FSF1060AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.15,,366.50 ,,,,,,,,,,,,
CFS FC W Pen-FirstRate Term Dep (15yr),40452,FSF8402AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.29,0.87,1.77,1.17,3.60,2.89,1.87,1.66,0.00,0.00,,1.19 ,,,,,,,,−0.93,−0.33,3.67,0.26,−5.63
CFS FC W Pen-FirstRate Term Dep (2yr),40453,FSF6586AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.32,1.00,2.06,1.35,4.42,4.05,2.56,1.82,0.00,0.15,,20.95 ,,,,,,,,0.34,0.32,5.88,0.29,2.25
CFS FC W Pen-FirstRate Term Dep (3Mth),17767,FSF1032AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.15,,60.61 ,,,,,,,,,,,,
CFS FC W Pen-FirstRate Term Dep (3yr),40454,FSF3967AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.32,0.98,2.01,1.33,4.37,3.99,2.52,1.81,0.00,0.15,,11.16 ,,,,,,,,0.28,0.33,6.18,0.29,1.76
CFS FC W Pen-FirstRate Term Dep (5yr),40455,FSF2107AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.15,0.44,0.90,0.60,1.83,2.42,1.60,1.36,0.00,0.15,,15.26 ,,,,,,,,−1.97,−3.00,40.97,0.28,−3.19
CFS FC W Pen-FirstRate Term Dep (6Mth),17768,FSF1034AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.15,,320.16 ,,,,,,,,,,,,
CFS FC W Pen-FirstRate Term Dep (7yr),40456,FSF7986AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.15,0.44,0.90,0.60,1.83,1.81,1.23,1.24,0.00,0.00,,,,,,,,,,−2.42,−2.30,77.31,0.04,−8.31
CFS FC W Pen-FirstRate Term Dep (9Mth),17773,FSF1059AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.15,,113.54 ,,,,,,,,,,,,
CFS FC W Pen- FirstRate TTR Saver Non-Auto-rebalancing,46439,AIL6125AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.29,0.87,1.82,1.19,3.74,,,,0.00,0.60,,1.25 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (10yr) Compound,43398,FSF3621AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.37 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (15yr) Compound,43399,FSF8085AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,1.19 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (2yr) Compound,43400,FSF5842AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,20.95 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (3yr) Compound,43401,FSF3813AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,11.16 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (5yr) Compound,43402,FSF6792AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,15.26 ,,,,,,,,,,,,
CFS FC W Pen-FR Term Dep (7yr) Compound,43403,FSF7041AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,
CFS FC W Pen-FRate Saver Non-Auto-rebal,44706,FSF9705AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.34,1.02,2.13,1.39,4.40,,,,0.00,0.60,,109.56 ,,,,,,,,,,,,
CFS FC W Pen-FSI Concentrated Aust Shr,11480,FSF0527AU,Bronze,100.00,100.00,2025-03-31,4,Equity Australia Large Growth,No,No,,,,6.46,13.88,0,9.63,0,0,0,0.00,8.57,5.84,−8.07,−0.74,−3.27,8.63,8.69,12.42,9.59,0.80,1.00,10.83,934.49 ,Large Growth,,,,,4,5,1.13,1.17,91.94,16.52,0.36
CFS FC W Pen-FSI Imputation,11478,FSF0512AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.30,24.34,0.65,9.83,0,0,0,0.00,11.07,4.46,−4.95,1.25,−0.86,11.07,9.64,14.06,9.55,0.80,1.00,10.75,,Large Blend,,,,,5,5,2.18,1.06,97.02,14.49,0.45
CFS FC W Pen-FSI Property Securities,11474,FSF0569AU,,,,,5,Equity Australia Real Estate,Yes,No,,,,7.73,0.00,0,0,0,0,0,0.00,0.00,6.91,−5.32,−4.55,−0.89,8.54,5.77,12.44,7.68,0.65,0.85,12.67,352.01 ,Large Growth,,,,,4,4,0.58,0.99,99.49,23.16,0.20
CFS FC W Pen-FSI Strategic Cash,11464,FSF0538AU,,,,,,Australian Cash,,No,,,,8.15,0.00,,,,,,,0.00,0.32,1.07,2.30,1.48,4.75,3.99,2.40,2.11,0.20,0.40,20.83,30.52 ,,,,,,,,0.50,1.31,58.52,0.37,1.40
CFS FC W Pen-Generation Global Share,15814,FSF0912AU,Silver,100.00,100.00,2025-03-31,5,Equity World Large Blend,Yes,No,,,,4.26,0.00,0,20.97,0,0,0,0.00,0.00,−1.20,−8.88,0.99,−3.93,8.38,11.22,11.34,12.40,1.11,1.48,17.67,,Large Growth,,,,,4,5,−4.10,1.08,75.92,14.53,0.55
CFS FC W Pen-GQG Partners Glb Equity,45478,AIL6283AU,Silver,100.00,100.00,2025-03-31,1,Equity World Large Growth,No,No,,,,8.18,26.28,0,24.64,0,0,0,1.49,4.97,−4.58,−9.59,−1.78,−5.98,2.89,,,,0.81,1.01,2.50,379.41 ,Large Blend,,,,,,,,,,,
CFS FC W Pen- GQG Partners Global Equity - Hedged,46434,AIL6445AU,Bronze,100.00,100.00,2025-03-31,1,Equity World - Currency Hedged,No,No,,,,8.18,26.28,0,24.64,0,0,0,1.49,4.97,−3.87,−9.47,−5.34,−5.44,−1.03,,,,0.83,1.03,1.50,87.60 ,Large Blend,,,,,,,,,,,
CFS FC W Pen- GQG Partners TTR Global Equity - Hedged,46449,AIL3222AU,Bronze,100.00,100.00,2025-03-31,1,Equity World - Currency Hedged,No,No,,,,8.18,26.28,0,24.64,0,0,0,1.49,4.97,−3.48,−8.45,−4.79,−4.88,−4.26,,,,0.83,1.03,1.50,0.60 ,Large Blend,,,,,,,,,,,
CFS FC W Pen-Hyperion Glb Growth Comp,44447,FSF7181AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Growth,Yes,No,,,,2.66,0.00,1.3,2.48,0,0,0,0.00,0.00,4.73,−11.43,12.99,−7.34,27.68,21.40,,,0.80,2.45,3.42,45.94 ,Large Growth,,,,,5,5,2.18,1.46,53.55,23.19,0.80
CFS FC W Pen-Infinity Core Aus Equity,46566,AIL3210AU,,,,,4,Equity Australia Large Blend,No,No,,,,8.19,22.23,0,14.52,0,0,0,0.00,12.67,4.04,−5.23,−0.55,−1.07,−1.50,,,,0.69,0.89,,1.54 ,Large Growth,,,,,,,,,,,
CFS FC W Pen-Intermede Glb Equities,45482,AIL5667AU,Neutral,100.00,100.00,2025-03-31,4,Equity World Large Growth,Yes,No,,,,4.77,3.95,2.12,18.33,0,0,0,0.00,0.00,−1.67,−10.08,−2.19,−7.25,2.52,,,,1.07,1.27,2.50,7.91 ,Large Growth,,,,,,,,,,,
CFS FC W Pen-Investors Mutual Aust Shr,11492,FSF0524AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.49,13.82,3.06,12.67,0,0,9.03,0.00,7.17,2.64,−0.08,4.22,2.48,9.85,6.11,10.03,6.44,1.00,1.20,15.33,6.74 ,Large Blend,,,,,2,1,−0.12,0.69,84.90,10.09,0.27
CFS FC W Pen-Ironbark Property Sec,11476,FSF0567AU,Silver,100.00,100.00,2025-03-31,5,Equity Australia Real Estate,Yes,No,,,,7.44,0.00,0,0,0,0,0,0.00,0.00,6.06,−6.11,−5.38,−1.64,5.72,3.69,11.63,7.92,0.65,0.85,20.83,,Large Blend,,,,,3,3,−1.40,0.99,99.35,23.28,0.11
CFS FC W Pen-JH Tactical Income,45485,AIL1409AU,Bronze,100.00,100.00,2025-03-31,3,Bonds - Australia,,No,,,,6.84,2.27,0,0.16,0,0,0.02,0.00,0.00,0.39,1.21,3.01,1.68,5.99,,,,0.50,0.70,2.50,379.10 ,,,,,,,,,,,,
CFS FC W Pen- L1 Capital Catalyst,46437,AIL4425AU,,,,,1,Equity Australia Large Blend,No,No,,,,18.93,20.24,0,0,0,0,0,0.00,0.00,−2.78,−7.67,−7.25,−3.94,−11.28,,,,1.24,1.44,1.50,3.15 ,Mid Value,,,,,,,,,,,
CFS FC W Pen- L1 Capital TTR Catalyst,46438,AIL0742AU,,,,,1,Equity Australia Large Blend,No,No,,,,18.93,20.24,0,0,0,0,0,0.00,0.00,−2.42,−6.80,−6.45,−3.42,−10.27,,,,1.24,1.44,1.50,0.02 ,Mid Value,,,,,,,,,,,
CFS FC W Pen-Lazard Select Aust Equity,11490,FSF0523AU,Silver,100.00,100.00,2025-03-31,2,Equity Australia Large Value,No,No,,,,14.94,24.33,7.08,2.28,0,0,2.05,0.00,9.45,−0.18,−4.33,−2.33,−1.58,−5.15,5.40,13.71,7.20,0.85,1.05,20.83,2.74 ,Mid Value,,,,,3,4,−0.80,0.73,71.76,11.58,0.19
CFS FC W Pen-Macquarie Australian Fixed Interest,11465,FSF0547AU,Bronze,100.00,100.00,2025-03-31,3,Bonds - Australia,,No,,,,8.33,5.44,0,0,0,0,0,0.00,0.00,1.61,2.74,4.72,2.91,,,,,0.29,0.49,0.92,611.37 ,,,,,,,,,,,,
CFS FC W Pen-Magellan Global Share,19043,FSF1210AU,Negative,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,3.02,3.94,1.55,15.2,0,0,0,0.00,0.00,−1.92,−7.68,3.44,−4.11,11.21,13.46,8.47,10.14,1.31,1.51,4.83,8.99 ,Large Growth,,,,,3,4,−1.16,0.97,86.43,12.23,0.80
CFS FC W Pen-Magellan Global Share-Hgd,41094,FSF1796AU,Negative,100.00,100.00,2025-03-31,4,Equity World - Currency Hedged,Yes,No,,,,2.99,3.29,1.44,16.14,0,0,0,0.00,0.00,−0.52,−7.02,−0.07,−2.70,7.42,7.72,6.73,,1.31,1.51,4.83,0.42 ,Large Blend,,,,,1,2,−1.58,0.95,89.17,14.68,0.33
CFS FC W Pen-Martin Currie Australia Equity Income,16426,FSF0949AU,Neutral,100.00,100.00,2025-03-31,3,Australia Equity Income,No,No,,,,9.90,18.43,1.24,1.45,0,0,2.15,0.00,6.17,2.71,−0.36,5.20,4.02,,,,,0.89,1.09,0.92,1.23 ,Large Value,,,,,,,,,,,
CFS FC W Pen-Merlon Aust Share Income,16359,FSF0950AU,,,,,3,Australia Equity Income,No,No,,,,10.87,13.09,7.99,1.53,0,0,2.12,0.00,5.43,0.25,−1.01,2.19,1.65,4.78,8.20,12.37,7.25,1.00,1.20,18.08,106.82 ,Large Value,,,,,,,2.21,0.58,72.99,9.15,0.50
CFS FC W Pen-MFS Global Equity,11502,FSF0552AU,Bronze,100.00,100.00,2025-03-31,4,Equity World Large Blend,Yes,No,,,,5.17,2.61,7.44,26.52,2.86,0,0,1.69,0.00,−2.51,−7.47,1.69,−2.20,7.94,8.46,9.42,8.89,1.05,1.25,15.58,9.91 ,Large Blend,,,,,2,4,−5.56,0.96,84.99,12.14,0.43
CFS FC W Pen-Nanuk New World,45488,AIL7863AU,Neutral,100.00,100.00,2025-03-31,5,Equity World Large Blend,Yes,Yes,,,,5.63,1.11,0,12.36,0,0,0,0.00,0.00,−1.49,−9.27,−2.44,−5.95,4.87,,,,1.05,1.25,2.50,5.36 ,Large Blend,,,,,,,,,,,
CFS FC W Pen-Pendal Australian Share,11482,FSF0521AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.51,19.24,3.25,10.05,0,0,3.15,0.00,10.53,2.04,−4.09,1.33,−0.16,10.33,7.78,12.85,8.79,0.85,1.05,20.83,,Large Blend,,,,,4,3,0.80,0.91,97.16,12.48,0.37
CFS FC W Pen-Pendal Glb Emerg Mkt Opp,42215,FSF9007AU,Bronze,100.00,100.00,2025-03-31,3,Equity Emerging Markets,Yes,No,,,,8.21,6.35,2.03,2.64,2.01,0,0,0.00,0.00,−1.06,0.70,4.41,2.72,9.85,8.88,7.44,,1.40,1.60,7.00,100.12 ,Large Growth,,,,,4,3,2.18,0.74,73.12,9.60,0.55
CFS FC W Pen-Pendal Global Select,45491,AIL0686AU,,,,,3,Equity World Large Growth,Yes,No,,,,4.38,0.00,0,20.86,0,0,0,0.00,0.00,1.08,−11.68,−3.47,−9.26,5.65,,,,0.94,1.14,2.50,0.19 ,Large Growth,,,,,,,,,,,
CFS FC W Pen-Pendal Property Investment,11475,FSF0568AU,Bronze,100.00,100.00,2025-03-31,5,Equity Australia Real Estate,Yes,No,,,,7.17,0.00,0,0,0,0,0,0.00,0.00,6.10,−5.61,−5.27,−1.69,8.18,4.80,11.73,7.68,0.90,1.10,20.83,,Large Blend,,,,,4,3,−0.35,0.98,99.71,22.87,0.16
CFS FC W Pen-Pendal Sust Aust Fix Int,44409,FSF9984AU,Neutral,100.00,100.00,2025-03-31,2,Bonds - Australia,,No,,,,8.12,16.45,0,0,0,0,0,0.00,0.00,1.75,2.71,4.74,3.24,6.84,2.63,,,0.63,0.75,3.42,13.33 ,,,,,,4,3,−0.13,0.99,99.60,5.64,−0.17
CFS FC W Pen-Pendal Sust Aust Share,11491,FSF0579AU,Bronze,100.00,100.00,2025-03-31,4,Equity Australia Large Blend,Yes,Yes,,,,8.58,0.52,0,11.49,0,0,0,0.00,0.00,4.31,−2.23,4.29,2.44,14.09,7.72,12.06,7.69,0.85,1.05,20.83,16.58 ,Large Blend,,,,,2,5,0.35,1.09,96.07,15.01,0.32
CFS FC W Pen-Perennial Value Aust Share,11493,FSF0526AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Value,No,No,,,,10.15,19.49,2.41,9.83,0,0,5.41,0.00,12.31,2.09,−5.71,−2.10,−2.07,4.12,4.99,12.99,6.88,0.85,1.05,6.83,,Large Blend,,,,,3,4,−1.91,0.94,97.35,12.84,0.15
CFS FC W Pen-Perpetual Aus Share,19460,FSF1249AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Value,No,No,,,,11.45,22.76,0,8.02,0,0,5.04,0.00,12.53,4.67,−2.03,−0.10,0.71,4.93,5.19,12.97,7.32,1.08,1.25,8.42,,Large Value,,,,,4,2,−1.46,0.85,91.06,12.06,0.17
CFS FC W Pen-Perpetual Industrial Share,11487,FSF0515AU,Neutral,100.00,100.00,2025-03-31,5,Equity Australia Large Value,No,No,,,,8.35,9.59,0,6.98,0,0,10.34,0.00,0.00,5.09,−2.39,3.91,1.17,15.77,11.65,14.96,7.89,1.06,1.25,8.42,,Large Blend,,,,,5,4,4.27,1.01,83.25,14.95,0.57
CFS FC W Pen-PIMCO Australian Bond,11471,FSF0544AU,Gold,100.00,100.00,2025-03-31,,Bonds - Australia,,No,,,,6.72,5.57,0,0,0,0,0,0.00,0.00,1.65,2.74,4.86,3.06,7.20,2.89,0.01,1.82,0.55,0.75,17.33,8.75 ,,,,,,5,4,0.16,1.02,99.46,5.78,−0.12
CFS FC W Pen-Platinum International,11507,FSF0576AU,Neutral,100.00,100.00,2025-03-31,2,Equity World Large Value,Yes,No,,,,8.87,4.74,1.58,4.03,0.99,0,2.8,0.00,0.00,−3.96,−4.15,−3.00,−3.38,−2.06,5.18,6.42,5.46,1.34,1.50,0.17,,Large Blend,,,,,2,2,−1.36,0.28,13.41,8.75,0.20
CFS FC W Pen-Platypus Australian Equities,11477,FSF0518AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,3.41,−12.46,−5.62,−7.63,0.68,3.13,8.58,5.98,0.75,0.95,0.50,64.73 ,Large Growth,,,,,2,3,−3.70,0.98,86.70,14.26,0.03
CFS FC W Pen-Platypus TTR Australian Equities,44477,FSF9337AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,3.13,−10.98,−4.99,−6.73,0.19,2.39,,,0.75,0.95,0.50,0.55 ,Large Growth,,,,,2,2,−4.18,0.87,87.29,12.62,−0.05
CFS FC W Pen-PM Capital Glb Companies,13542,FSF0831AU,Negative,100.00,100.00,2025-03-31,1,Equity World Large Blend,No,No,,,,12.31,19.45,3.19,9.5,3.25,0,9.5,0.00,9.59,−1.90,0.16,6.68,5.78,9.41,15.88,21.15,12.00,1.04,3.60,19.17,74.41 ,Large Value,,,,,4,5,4.45,0.72,25.33,16.61,0.75
CFS FC W Pen-Royal London Concentrated Global Share,11503,FSF0555AU,,,,,1,Equity World Large Blend,No,No,,,,9.46,10.04,1.47,10.84,3.36,0,0,3.36,0.00,−2.38,−7.51,0.73,−3.78,10.62,19.00,14.98,10.25,1.10,1.30,1.08,200.02 ,Large Blend,,,,,4,4,2.56,1.09,88.14,13.50,1.09
CFS FC W Pen-Royal London Core Global Share,46435,AIL2619AU,,,,,1,Equity World Large Blend,No,No,,,,9.46,10.04,1.47,10.84,3.36,0,0,3.36,0.00,−1.83,−7.40,0.49,−4.66,9.55,,,,0.66,0.86,1.08,4.60 ,Large Blend,,,,,,,,,,,
CFS FC W Pen-Royal London TTR Core Global Share,46436,AIL7809AU,,,,,1,Equity World Large Blend,No,No,,,,9.46,10.04,1.47,10.84,3.36,0,0,3.36,0.00,−1.14,−6.14,0.23,−3.67,8.12,,,,0.66,0.86,1.08,0.57 ,Large Blend,,,,,,,,,,,
CFS FC W Pen-RQI Australian Value,16887,FSF0998AU,Silver,100.00,100.00,2024-02-29,3,Equity Australia Large Value,No,No,,,,12.00,25.58,0,3.12,0,0,2.3,0.00,12.96,3.69,−1.41,3.56,2.90,12.22,9.95,16.42,10.08,0.45,0.65,7.83,14.90 ,Large Value,,,,,5,3,2.77,0.92,97.09,12.69,0.52
CFS FC W Pen-RQI Emerging Market Value,19044,FSF1209AU,Bronze,100.00,100.00,2025-04-09,1,Equity Emerging Markets,No,No,,,,11.14,11.81,0.13,2.59,0,0,0.03,0.00,3.36,−2.08,1.35,6.17,2.99,12.17,10.99,10.45,6.02,0.71,0.91,7.83,849.57 ,Large Value,,,,,5,5,3.43,0.94,86.07,11.30,0.66
CFS FC W Pen-RQI Global Value,16891,FSF1000AU,Bronze,100.00,100.00,2024-03-07,2,Equity World Large Value,No,No,,,,9.01,11.77,0.16,15.33,0.13,0,0.08,0.45,0.55,−2.01,−2.42,6.78,0.84,15.61,15.93,16.43,10.18,0.55,0.75,7.83,463.86 ,Large Value,,,,,5,5,2.86,0.79,81.46,10.23,1.15
CFS FC W Pen-RQI Global Value Hedged,16884,FSF1001AU,,,,,3,Equity World - Currency Hedged,No,No,,,,9.02,11.78,0.19,15.32,0.11,0,0.07,0.47,0.56,−1.67,−3.30,2.28,0.47,10.39,11.09,15.47,7.91,0.58,0.76,7.83,130.74 ,Large Value,,,,,4,3,1.95,0.85,90.24,13.11,0.59
CFS FC W Pen-RQI TTR Australian Value,42280,FSF7154AU,Silver,100.00,100.00,2024-02-29,3,Equity Australia Large Value,No,No,,,,12.00,25.58,0,3.12,0,0,2.3,0.00,12.96,3.34,−1.18,3.22,2.60,10.72,8.54,14.30,,0.45,0.65,7.83,14.90 ,Large Value,,,,,5,1,1.75,0.82,97.19,11.20,0.46
CFS FC W Pen-RQI TTR Global Value,42281,FSF2041AU,Bronze,100.00,100.00,2024-03-07,2,Equity World Large Value,No,No,,,,9.01,11.77,0.16,15.33,0.13,0,0.08,0.45,0.55,−1.76,−2.07,6.11,0.79,14.14,14.17,14.90,,0.56,0.76,7.83,463.86 ,Large Value,,,,,4,2,2.35,0.69,80.22,8.97,1.12
CFS FC W Pen-RQI TTR Global Value Hedged,44495,FSF2883AU,,,,,3,Equity World - Currency Hedged,No,No,,,,9.02,11.78,0.19,15.32,0.11,0,0.07,0.47,0.56,−1.40,−2.76,2.34,0.56,10.03,10.05,,,0.59,0.77,3.42,2.71 ,Large Value,,,,,4,1,1.55,0.74,89.86,11.44,0.57
CFS FC W Pen-Sage Capital Equity Plus,45497,AIL7340AU,,,,,2,Equity Australia Large Blend,No,No,,,,11.55,22.20,0.32,11.53,0,0,3.35,0.00,10.46,1.89,−5.46,1.76,0.40,9.47,,,,0.90,1.10,2.50,43.27 ,Large Blend,,,,,,,,,,,
CFS FC W Pen-Schroder Australian Equity,11488,FSF0520AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.63,22.19,0.93,4.48,0,0,0,0.00,9.42,1.06,−2.60,0.99,0.66,5.10,6.19,12.83,8.31,0.85,1.05,23.00,23.24 ,Large Value,,,,,3,3,−0.54,0.86,92.70,12.10,0.25
CFS FC W Pen-Skerryvore Global Emerging Markets All-Cap,15022,FSF0858AU,Silver,100.00,100.00,2025-03-31,3,Equity Emerging Markets,Yes,No,,,,5.33,5.85,5.52,16.52,0,0,0.22,0.00,5.15,3.76,6.29,6.03,6.57,15.41,6.96,5.89,5.53,1.19,1.39,0.50,,Large Growth,,,,,4,4,−0.44,1.02,78.05,12.80,0.30
CFS FC W Pen-Solaris Core Aust Equity,11481,FSF0525AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.73,14.85,0.97,7.65,0,0,3.17,0.00,9.86,2.58,−5.02,−0.22,−0.41,9.10,7.93,12.12,8.40,0.85,1.05,17.33,,Large Blend,,,,,3,4,0.74,0.99,98.00,13.48,0.36
CFS FC W Pen-State Street Aust Equity,11484,FSF0516AU,,,,,2,Equity Australia Large Blend,No,No,,,,11.18,14.77,2.95,8.25,0,0,0,0.00,0.70,2.70,−0.60,3.99,2.12,6.51,3.14,7.00,4.87,0.86,1.06,15.67,24.06 ,Mid Value,,,,,1,1,−2.92,0.68,81.75,10.20,−0.01
